source_id,ra,dec,parallax,pmra,pmdec,cluster,Probability,pm
5350395383778719872,161.1625689939955,-59.35626835804649,0.3607945362869776,-6.652255814233698,2.433240221714392,2,0.9220478308058307,7.083302000000001
5350395383778723200,161.17403905944963,-59.35915096690317,0.3806548947559094,-6.0969040145563005,2.258511494415184,2,0.9350927154013922,6.5017776
5350395383778729472,161.16903513301585,-59.353819458879535,0.3409770935483153,-6.253705842681316,1.9725027049421573,2,0.9186785921198212,6.5574083
5350395383778731648,161.18525526515168,-59.35910392041231,0.4798609206419925,-6.151031983170368,2.1699896752151613,2,0.9170141040494204,6.5225800000000005
5350395383778733568,161.18276254012142,-59.35697463069849,0.39657627791919337,-6.004946048712307,2.0417348495286465,2,0.9235904723409248,6.3425593000000005
5350395383778737408,161.17760141289705,-59.352737171312256,0.367995294029153,-6.130722656886944,2.0793694297685112,2,0.9274383430508578,6.4737577
5350395383779289088,161.17067923888285,-59.35450691009311,0.3595422338341693,-5.883543109194366,2.7009117087797607,2,0.9151907541863404,6.4738708
5350395413817149696,161.17029382507852,-59.34651044858086,0.4388239553946621,-6.09951883450047,2.0090166572998647,2,0.9127840533127868,6.4218593
5350395413817150336,161.17211009316497,-59.335565607481506,0.2285785239362169,-6.2342116814160535,2.2342041578930565,2,0.9284410744656032,6.6224666
5350395413817162368,161.19378632823958,-59.35205268920734,0.4570714363254095,-6.333573847943421,2.0854470384730144,2,0.9093689611027927,6.6680765
5350395418127570944,161.17234838467468,-59.33930509375069,0.19786768600142296,-6.0290018381453,1.9629373076028236,2,0.9097852927155166,6.3405037
5350395418127572096,161.174494018085,-59.33978799505661,0.3522013725116941,-6.114128280463094,2.5794903868286374,2,0.9292094711963552,6.6359878
5350395418127575296,161.18123940226775,-59.34238658286159,0.27854174570459633,-6.460149373356267,2.058295623276753,2,0.910184265525968,6.780125999999999
5350395418127579904,161.1922755534839,-59.34636558702793,0.2810862824187918,-5.965201139331483,2.2806834184824005,2,0.9356682379719616,6.3863244
5350395418127580416,161.17480377583163,-59.338937137304846,0.4367203803892749,-6.473636944220264,2.140356442067658,2,0.9073807637400292,6.8182917000000005
5350395418128615296,161.17369619311413,-59.34714619065585,0.18870202574709227,-6.023562615506222,2.319206042144813,2,0.9318880520721836,6.4546127
5350395418138489344,161.1686250866206,-59.34158959948807,0.3723610612373155,-6.389077500588024,2.129162507785852,2,0.920466443793111,6.7345114
